Instancia,Algoritmo,Run,Tiempo_s
r107,QLEARNING,6,6.3993
r107,QLEARNING,7,5.7884
r107,QLEARNING,8,5.933
r107,QLEARNING,9,6.4354
r107,QLEARNING,10,5.952
r108,CLASSIC,1,6.2478
r108,CLASSIC,2,6.3932
r108,CLASSIC,3,6.5977
r108,CLASSIC,4,6.3016
r108,CLASSIC,5,6.1168
r108,CLASSIC,6,6.351
r108,CLASSIC,7,6.3793
r108,CLASSIC,8,6.437
r108,CLASSIC,9,6.466
r108,CLASSIC,10,6.2446
r108,QLEARNING,1,5.5995
r108,QLEARNING,2,5.811
r108,QLEARNING,3,6.3811
r108,QLEARNING,4,5.3521
r108,QLEARNING,5,6.2377
r108,QLEARNING,6,5.7137
r108,QLEARNING,7,5.7245
r108,QLEARNING,8,5.4354
r108,QLEARNING,9,5.5842
r108,QLEARNING,10,5.2113
r109,CLASSIC,1,5.3639
r109,CLASSIC,2,5.4932
r109,CLASSIC,3,5.5383
r109,CLASSIC,4,5.3048
r109,CLASSIC,5,5.5015
r109,CLASSIC,6,5.4534
r109,CLASSIC,7,5.5732
r109,CLASSIC,8,5.4178
r109,CLASSIC,9,5.5818
r109,CLASSIC,10,5.2162
r109,QLEARNING,1,4.3547
r109,QLEARNING,2,4.2881
r109,QLEARNING,3,4.3674
r109,QLEARNING,4,4.284
r109,QLEARNING,5,4.2994
r109,QLEARNING,6,4.6796
r109,QLEARNING,7,4.5318
r109,QLEARNING,8,4.7059
r109,QLEARNING,9,4.472
r109,QLEARNING,10,4.2955
r110,CLASSIC,1,6.4842
r110,CLASSIC,2,6.5829
r110,CLASSIC,3,6.1728
r110,CLASSIC,4,6.3882
r110,CLASSIC,5,6.5732
r110,CLASSIC,6,6.409
r110,CLASSIC,7,6.3001
r110,CLASSIC,8,6.5417
r110,CLASSIC,9,6.2544
r110,CLASSIC,10,6.3053
r110,QLEARNING,1,6.9101
r110,QLEARNING,2,5.6916
r110,QLEARNING,3,7.0736
r110,QLEARNING,4,5.415
r110,QLEARNING,5,6.1732
r110,QLEARNING,6,6.4474
r110,QLEARNING,7,6.7529
r110,QLEARNING,8,5.7871
r110,QLEARNING,9,6.6348
r110,QLEARNING,10,5.2271
r111,CLASSIC,1,6.3999
r111,CLASSIC,2,6.595
r111,CLASSIC,3,6.4332
r111,CLASSIC,4,6.3312
r111,CLASSIC,5,6.3878
r111,CLASSIC,6,6.368
r111,CLASSIC,7,6.4494
r111,CLASSIC,8,6.4273
r111,CLASSIC,9,6.3902
r111,CLASSIC,10,6.2864
r111,QLEARNING,1,5.9368
r111,QLEARNING,2,5.9186
r111,QLEARNING,3,6.6014
r111,QLEARNING,4,6.2092
r111,QLEARNING,5,6.4091
r111,QLEARNING,6,5.7822
r111,QLEARNING,7,6.1839
r111,QLEARNING,8,5.9499
r111,QLEARNING,9,6.3899
r111,QLEARNING,10,7.4175
r112,CLASSIC,1,6.6383
r112,CLASSIC,2,6.2169
r112,CLASSIC,3,6.3014
r112,CLASSIC,4,6.7773
r112,CLASSIC,5,6.4491
r112,CLASSIC,6,6.4602
r112,CLASSIC,7,6.2737
r112,CLASSIC,8,6.364
r112,CLASSIC,9,6.3595
r112,CLASSIC,10,6.4953
r112,QLEARNING,1,6.3659
r112,QLEARNING,2,5.6346
r112,QLEARNING,3,6.0747
r112,QLEARNING,4,5.8717
