iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
98,0,13,1369.21,13,1449.21,3,3,0,268.189,0.29333,0.133207,0.341379,0.232084,0.127732,0.271538,0.448826,0.151904
99,0,13,1369.21,13,1449.21,0,1,0,268.055,0.305712,0.138808,0.3558,0.19968,0.130039,0.276485,0.457049,0.136427
100,0,13,1369.21,13,1599.97,1,0,9,267.921,0.262048,0.14752,0.378203,0.212229,0.136339,0.24131,0.479312,0.143038
101,0,13,1369.21,13,1608.58,3,2,9,267.787,0.260182,0.153572,0.375537,0.210708,0.145462,0.238747,0.474286,0.141504
102,0,13,1369.21,13,1608.58,2,1,0,267.653,0.259571,0.153196,0.374683,0.21255,0.1489,0.244414,0.461839,0.144847
103,0,13,1369.21,13,1513.94,0,1,13,267.52,0.281264,0.165981,0.322452,0.230303,0.154772,0.214508,0.480161,0.150559
104,0,13,1369.21,13,1513.94,0,1,0,267.386,0.292155,0.163453,0.317582,0.22681,0.150879,0.23416,0.468189,0.146771
105,0,13,1369.21,13,1411.8,3,2,13,267.252,0.249271,0.173341,0.33684,0.240548,0.156391,0.206075,0.485403,0.152132
106,0,13,1369.21,13,1402.75,2,2,13,267.119,0.244794,0.170215,0.33081,0.254181,0.153905,0.20281,0.493573,0.149712
107,0,13,1369.21,13,1402.75,0,3,0,266.985,0.241565,0.167957,0.339649,0.250829,0.151466,0.199607,0.501587,0.147339
108,0,13,1369.21,13,1397.88,0,3,13,266.852,0.208016,0.175371,0.354691,0.261921,0.153847,0.202756,0.509592,0.133806
109,0,13,1369.21,13,1397.88,0,0,0,266.718,0.223603,0.171904,0.347729,0.256764,0.150222,0.19799,0.497705,0.154083
110,0,13,1369.21,13,1397.88,1,2,0,266.585,0.193469,0.17856,0.361243,0.266728,0.136136,0.201252,0.505998,0.156614
111,0,13,1369.21,13,1397.88,2,0,0,266.451,0.198595,0.156731,0.370861,0.273813,0.152225,0.225052,0.447596,0.175127
112,0,13,1369.21,13,1390.63,2,1,13,266.318,0.214763,0.169483,0.319631,0.296123,0.137113,0.22905,0.455609,0.178229
113,0,13,1369.21,13,1380.32,0,0,13,266.185,0.211754,0.1671,0.329153,0.291993,0.133712,0.248055,0.444416,0.173817
114,0,13,1369.21,13,1380.32,0,1,0,266.052,0.226568,0.163944,0.322979,0.286509,0.152824,0.242571,0.434642,0.169963
115,0,13,1369.21,13,1408.43,2,2,9,265.919,0.195309,0.170553,0.336046,0.298093,0.158889,0.212415,0.451985,0.176711
