Instancia,BKS_Vehiculos,BKS_Distancia,CLASSIC_Vehiculos,QLEARNING_Vehiculos,CLASSIC_Distancia,QLEARNING_Distancia,CLASSIC_Vehiculos_Promedio,QLEARNING_Vehiculos_Promedio,CLASSIC_Distancia_Promedio,QLEARNING_Distancia_Promedio,CLASSIC_Delta_Vehiculos,QLEARNING_Delta_Vehiculos,CLASSIC_GAP_Dist_Mejor (%),QLEARNING_GAP_Dist_Mejor (%),CLASSIC_GAP_Dist_Prom (%),QLEARNING_GAP_Dist_Prom (%),CLASSIC_Iter_Convergencia,QLEARNING_Iter_Convergencia,CLASSIC_Iter_Conv_Promedio,QLEARNING_Iter_Conv_Promedio,CLASSIC_Tiempo_Mejor,QLEARNING_Tiempo_Mejor,CLASSIC_Tiempo_Promedio,QLEARNING_Tiempo_Promedio
r211,2,885.71,3.0,3.0,767.818,767.818,3.0,3.0,794.5195,790.8782,1.0,1.0,-13.310451502184694,-13.310451502184694,-10.295751431055317,-10.706867936457762,7443,3952,7238.4,5801.2,5.3961,4.7376,5.53583,5.00792
rc101,14,1696.95,15.0,15.0,1623.58,1624.97,15.0,15.0,1637.2,1634.601,1.0,1.0,-4.3236394708152925,-4.241727805769175,-3.5210230118742447,-3.674180146733842,10625,8118,8619.3,8125.8,5.0349,3.9113,5.17317,4.11741
rc102,12,1554.75,13.0,13.0,1477.64,1477.64,13.0,13.0,1487.2450000000001,1488.819,1.0,1.0,-4.959639813474829,-4.959639813474829,-4.341855603794815,-4.240617462614571,11468,8318,10967.1,11412.2,5.9561,4.6883,6.10124,5.2008600000000005
rc103,11,1261.67,11.0,11.0,1262.02,1262.02,11.1,11.1,1283.726,1284.758,0.0,0.0,0.027741009931274343,0.027741009931274343,1.7481591858409917,1.8299555351240788,20410,21965,13227.3,15742.4,6.2931,5.7518,6.512949999999999,6.75937
rc104,10,1135.48,10.0,10.0,1138.34,1139.61,10.0,10.0,1150.901,1150.248,0.0,0.0,0.2518758586676912,0.36372283087327667,1.3581040617183964,1.3005953429386716,12914,20951,13957.0,12217.4,5.9572,5.4636,6.1327300000000005,6.36585
rc105,13,1629.44,14.0,14.0,1542.27,1542.27,14.0,14.0,1550.889,1552.307,1.0,1.0,-5.349690691280444,-5.349690691280444,-4.8207359583660745,-4.733712195600945,13203,16453,8429.7,8795.0,5.9423,4.8345,6.07284,5.26603
rc106,11,1424.73,12.0,12.0,1384.81,1384.46,12.3,12.1,1392.8790000000001,1391.0369999999998,1.0,1.0,-2.8019344016059233,-2.8265004597362293,-2.2355814785959365,-2.3648691330989178,16969,11767,12961.9,11425.1,4.791,4.0944,5.01247,4.41111
rc107,11,1230.48,11.0,11.0,1233.21,1234.29,11.1,11.0,1243.039,1248.345,0.0,0.0,0.22186463818997612,0.30963526428710303,1.020658604772119,1.4518724400234062,8035,13790,12046.5,16453.7,5.6179,5.6338,5.914759999999999,6.46946
rc108,10,1139.82,10.0,10.0,1139.82,1155.5,10.6,10.7,1135.213,1139.4180000000001,0.0,0.0,0.0,1.3756558053025973,-0.40418662595848215,-0.03526872664103247,16468,24376,11122.8,9235.5,6.1038,6.1626,6.27078,6.5376900000000004
rc201,4,1406.94,4.0,4.0,1415.0,1417.8,4.0,4.0,1443.7469999999998,1443.126,0.0,0.0,0.5728744651513175,0.7718879269904828,2.6161030321122283,2.5719646893257653,8339,6990,8946.9,7163.9,4.4972,3.5448,4.60837,3.8527699999999996
rc202,3,1365.65,4.0,4.0,1162.8,1162.8,4.0,4.0,1182.663,1186.068,1.0,1.0,-14.853732654779783,-14.853732654779783,-13.399260425438442,-13.149928605425995,4642,5754,5365.1,3736.0,5.0841,4.3112,5.2532499999999995,4.48356
rc203,3,1049.62,3.0,3.0,1051.82,1064.14,3.4,3.3,1022.1605999999999,1043.7276,0.0,0.0,0.20959966464054094,1.3833577866275615,-2.6161277414683375,-0.5613841199672218,14918,4701,11141.5,5100.3,5.4241,4.8772,5.95008,5.2402
rc204,3,798.46,3.0,3.0,798.563,798.464,3.0,3.0,818.5457,816.4416,0.0,0.0,0.012899832176934571,0.0005009643563884352,2.515554943265783,2.2520351676978128,9446,8338,8145.7,5246.0,5.476,4.7336,5.66037,5.17068
rc205,4,1297.65,4.0,4.0,1315.8,1314.32,4.0,4.0,1340.859,1338.691,0.0,0.0,1.3986822332678197,1.2846299079104415,3.3297884637614015,3.162717219589253,8873,7240,7117.2,6048.9,5.1514,4.1487,5.282719999999999,4.34187
rc206,3,1146.32,3.0,3.0,1146.32,1146.32,3.6,3.6,1127.123,1131.301,0.0,0.0,0.0,0.0,-1.6746632702910085,-1.310192616372392,2572,688,5285.4,4158.6,4.7743,3.9336,4.90386,4.4270499999999995
rc207,3,1061.14,3.0,3.0,1102.5,1084.55,3.8,3.3,1045.5819999999999,1079.374,0.0,0.0,3.8976949318657192,2.20611794862128,-1.4661590365079273,1.7183406525057885,8472,12138,8274.5,11443.1,5.4313,4.5904,5.65514,4.76892
rc208,3,828.14,3.0,3.0,829.695,829.695,3.0,3.0,844.6641999999999,850.0269000000001,0.0,0.0,0.187770183785358,0.187770183785358,1.9953389523510459,2.642898543724501,4079,2662,5072.1,5919.6,5.4761,4.9896,5.561780000000001,5.78746
