Algoritmo,Instancia,Run,Vehiculos,Distancia,Iter_Convergencia,Tiempo_s
CLASSIC,r108,7,10.0,952.86,21765,6.349
CLASSIC,r108,8,10.0,951.023,7890,6.878
CLASSIC,r108,9,10.0,946.422,10259,6.933
CLASSIC,r109,1,12.0,1157.04,7875,5.512
CLASSIC,r109,10,12.0,1155.72,8914,5.427
CLASSIC,r109,2,12.0,1154.55,7389,5.598
CLASSIC,r109,3,12.0,1153.89,17191,6.041
CLASSIC,r109,4,12.0,1153.46,4668,5.632
CLASSIC,r109,5,12.0,1154.59,5133,6.033
CLASSIC,r109,6,12.0,1153.89,22988,6.085
CLASSIC,r109,7,12.0,1154.04,10281,5.619
CLASSIC,r109,8,12.0,1153.89,19072,5.895
CLASSIC,r109,9,12.0,1153.02,9860,5.745
CLASSIC,r110,1,11.0,1092.79,9869,6.85
CLASSIC,r110,10,11.0,1084.84,5956,6.65
CLASSIC,r110,2,11.0,1080.64,11714,6.689
CLASSIC,r110,3,11.0,1085.27,11334,7.301
CLASSIC,r110,4,11.0,1083.12,5940,7.21
CLASSIC,r110,5,11.0,1085.81,16981,7.412
CLASSIC,r110,6,11.0,1092.58,11307,7.215
CLASSIC,r110,7,11.0,1093.31,14798,7.021
CLASSIC,r110,8,11.0,1102.05,3614,6.762
CLASSIC,r110,9,11.0,1106.28,10133,6.395
CLASSIC,r111,1,11.0,1054.23,7797,6.759
CLASSIC,r111,10,11.0,1059.72,3299,6.38
CLASSIC,r111,2,11.0,1054.23,13556,6.622
CLASSIC,r111,3,11.0,1054.23,10016,7.119
CLASSIC,r111,4,11.0,1054.23,8978,7.009
CLASSIC,r111,5,11.0,1062.29,5787,7.138
CLASSIC,r111,6,11.0,1054.23,10903,6.789
CLASSIC,r111,7,11.0,1057.78,7262,7.106
CLASSIC,r111,8,11.0,1063.31,4003,6.525
CLASSIC,r111,9,11.0,1059.66,4385,6.907
CLASSIC,r112,1,10.0,960.227,5071,6.967
CLASSIC,r112,10,10.0,953.634,5573,7.109
CLASSIC,r112,2,10.0,971.407,3732,7.289
CLASSIC,r112,3,10.0,959.552,7381,7.063
CLASSIC,r112,4,10.0,981.519,4568,6.582
CLASSIC,r112,5,10.0,955.73,19524,6.875
CLASSIC,r112,6,10.0,969.706,8298,7.282
CLASSIC,r112,7,10.0,958.728,21872,6.805
CLASSIC,r112,8,10.0,962.827,11474,7.132
CLASSIC,r112,9,10.0,953.684,9223,6.538
CLASSIC,r201,1,4.0,1271.29,5140,5.132
CLASSIC,r201,10,4.0,1261.58,5864,4.987
CLASSIC,r201,2,4.0,1261.58,7602,4.962
CLASSIC,r201,3,4.0,1285.54,2213,5.413
CLASSIC,r201,4,4.0,1257.43,945,5.044
CLASSIC,r201,5,4.0,1261.58,5007,5.242
CLASSIC,r201,6,4.0,1254.69,2881,5.102
CLASSIC,r201,7,4.0,1266.9,7260,5.542
CLASSIC,r201,8,4.0,1266.11,10073,4.986
CLASSIC,r201,9,4.0,1276.63,5831,5.355
CLASSIC,r202,1,4.0,1093.98,3138,5.867
CLASSIC,r202,10,4.0,1082.46,9297,5.86
CLASSIC,r202,2,4.0,1087.52,5850,6.027
CLASSIC,r202,3,4.0,1081.32,5611,5.639
CLASSIC,r202,4,4.0,1079.39,9696,5.893
CLASSIC,r202,5,4.0,1090.31,1545,6.281
CLASSIC,r202,6,4.0,1087.81,7213,5.745
CLASSIC,r202,7,4.0,1086.94,6819,6.088
CLASSIC,r202,8,4.0,1082.75,20823,5.845
CLASSIC,r202,9,4.0,1079.39,7586,6.253
CLASSIC,r203,1,3.0,951.443,17341,6.272
CLASSIC,r203,10,3.0,959.085,6104,6.148
