Instancia,Opt_Veh,Opt_Dist,CLASSIC_BestVeh,CLASSIC_StdVeh,CLASSIC_BestDist,CLASSIC_StdDist,CLASSIC_AvgTime,CLASSIC_UnifiedGAP,QLEARNING_BestVeh,QLEARNING_StdVeh,QLEARNING_BestDist,QLEARNING_StdDist,QLEARNING_AvgTime,QLEARNING_UnifiedGAP,DQN_BestVeh,DQN_StdVeh,DQN_BestDist,DQN_StdDist,DQN_AvgTime,DQN_UnifiedGAP
RC101,14.0,1696.95,15.0,0.000,1631.17,7.43,0.00,96.38,15.0,0.000,1624.97,9.26,0.00,96.42,15.0,0.000,1656.32,0.78,0.00,97.64
RC102,12.0,1554.75,13.0,0.000,1477.64,9.00,0.00,95.86,13.0,0.490,1477.64,5.55,0.00,135.71,13.0,0.490,1498.32,11.04,0.00,136.49
RC103,11.0,1261.67,11.0,0.000,1262.02,6.29,0.00,0.92,11.0,0.490,1265.80,19.10,0.00,42.74,11.0,0.490,1277.00,14.83,0.00,42.75
RC104,10.0,1135.48,10.0,0.000,1137.25,11.56,0.00,0.99,10.0,0.300,1138.13,11.03,0.00,11.81,10.0,0.000,1138.90,9.69,0.00,1.75
RC105,13.0,1629.44,14.0,0.000,1540.18,5.02,0.00,95.04,14.0,0.000,1542.27,5.63,0.00,95.39,14.0,0.000,1541.20,11.25,0.00,95.30
RC106,11.0,1424.73,12.0,0.300,1384.81,9.71,0.00,107.75,12.0,0.490,1386.07,11.90,0.00,137.98,12.0,0.400,1385.92,5.55,0.00,117.61
RC107,11.0,1230.48,11.0,0.300,1233.14,6.07,0.00,10.86,11.0,0.458,1239.28,14.30,0.00,32.04,11.0,0.400,1244.19,5.12,0.00,21.89
RC108,10.0,1139.82,10.0,0.458,1139.82,15.41,0.00,69.51,10.0,0.400,1155.50,11.10,0.00,79.89,11.0,0.000,1135.56,2.87,0.00,99.97
RC201,4.0,1406.94,4.0,0.300,1417.80,41.59,0.00,12.15,4.0,0.000,1429.48,20.63,0.00,3.06,4.0,0.000,1448.64,14.72,0.00,4.33
RC202,3.0,1365.65,4.0,0.000,1161.29,30.72,0.00,87.19,4.0,0.000,1162.80,19.38,0.00,87.85,4.0,0.000,1178.33,21.04,0.00,87.80
RC203,3.0,1049.62,3.0,0.490,1072.38,62.63,0.00,38.16,3.0,0.458,1075.18,55.72,0.00,31.36,3.0,0.000,1076.14,14.12,0.00,4.94
RC204,3.0,798.46,3.0,0.000,798.46,13.37,0.00,1.65,3.0,0.000,798.46,19.02,0.00,3.86,3.0,0.000,801.75,14.64,0.00,3.78
RC205,4.0,1297.65,4.0,0.000,1306.86,29.89,0.00,3.96,4.0,0.300,1314.32,26.16,0.00,12.61,4.0,0.000,1343.62,11.96,0.00,4.55
RC206,3.0,1146.32,3.0,0.400,1152.03,33.96,0.00,77.15,3.0,0.400,1146.32,22.55,0.00,76.97,3.0,0.400,1170.16,48.26,0.00,23.15
RC207,3.0,1061.14,3.0,0.400,1131.38,44.50,0.00,78.45,3.0,0.490,1091.42,45.97,0.00,60.22,3.0,0.400,1097.66,47.61,0.00,25.03
RC208,3.0,828.14,3.0,0.000,829.70,14.56,0.00,2.26,3.0,0.000,841.99,20.12,0.00,3.73,3.0,0.000,833.98,20.48,0.00,3.72
