Instancia,Opt_Veh,Opt_Dist,Run1_Veh,Run1_Dist,Run2_Veh,Run2_Dist,Run3_Veh,Run3_Dist,Run4_Veh,Run4_Dist,Run5_Veh,Run5_Dist,Run6_Veh,Run6_Dist,Run7_Veh,Run7_Dist,Run8_Veh,Run8_Dist,Run9_Veh,Run9_Dist,Run10_Veh,Run10_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP,Avg_Time(s)
R209,3.0,909.16,3,976.17,3,945.90,3,926.07,3,956.97,3,970.09,3,947.10,3,959.32,3,946.38,3,968.90,3,943.74,3,3.00,0.000,926.07,954.06,14.37,0.00,4.94,4.94,6.25
R210,3.0,939.37,3,978.85,3,964.54,3,975.77,3,999.19,3,952.79,3,942.31,3,964.37,3,987.03,3,963.63,3,963.95,3,3.00,0.000,942.31,969.24,15.65,0.00,3.18,3.18,6.32
R211,2.0,885.71,3,796.72,3,810.75,3,817.03,3,806.15,3,805.79,3,832.38,3,797.78,3,813.25,3,804.93,3,818.87,3,3.00,0.000,796.72,810.36,10.11,1.00,-8.51,91.49,6.62
RC101,14.0,1696.95,15,1640.66,15,1648.69,15,1644.01,15,1656.32,15,1642.86,15,1644.36,15,1631.34,15,1642.86,15,1656.44,15,1658.18,15,15.00,0.000,1631.34,1646.57,7.99,1.00,-2.97,97.03,3.80
RC102,12.0,1554.75,14,1480.17,14,1494.98,13,1524.45,14,1494.38,14,1479.26,14,1480.56,14,1497.75,13,1507.33,14,1495.45,13,1510.09,13,13.70,0.458,1507.33,1496.44,13.82,1.70,-3.75,166.25,4.33
RC103,11.0,1261.67,12,1325.54,12,1292.26,11,1282.70,11,1284.62,12,1324.86,11,1297.88,11,1265.15,12,1335.28,12,1306.85,11,1274.53,11,11.50,0.500,1265.15,1298.97,22.39,0.50,2.96,52.96,5.11
RC104,10.0,1135.48,10,1169.07,10,1136.88,10,1138.34,10,1144.93,10,1153.50,10,1179.57,10,1136.91,10,1170.34,10,1166.55,10,1166.65,10,10.00,0.000,1136.88,1156.27,15.25,0.00,1.83,1.83,4.14
RC105,13.0,1629.44,14,1554.14,14,1552.44,14,1554.14,14,1554.14,14,1541.20,14,1562.06,14,1550.19,14,1552.60,14,1554.14,14,1557.34,14,14.00,0.000,1541.20,1553.24,5.03,1.00,-4.68,95.32,4.30
RC106,11.0,1424.73,13,1384.30,12,1401.22,12,1393.76,13,1388.40,12,1384.81,13,1378.61,12,1385.68,12,1397.90,13,1391.19,12,1393.51,12,12.40,0.490,1384.81,1389.94,6.53,1.40,-2.44,137.56,3.70
RC107,11.0,1230.48,11,1264.01,12,1248.05,12,1272.44,11,1258.62,11,1246.74,11,1276.91,12,1258.84,11,1347.95,12,1258.63,11,1268.43,11,11.40,0.490,1246.74,1270.06,27.52,0.40,3.22,43.22,4.03
RC108,10.0,1139.82,11,1141.00,11,1134.85,10,1147.70,10,1147.26,11,1133.25,11,1135.17,11,1134.85,11,1134.85,11,1142.97,11,1140.72,10,10.80,0.400,1147.26,1139.26,5.15,0.80,-0.05,79.95,4.18
RC201,4.0,1406.94,4,1434.87,4,1468.17,4,1448.01,4,1475.91,4,1469.64,4,1484.84,4,1466.70,4,1451.84,4,1461.22,4,1458.15,4,4.00,0.000,1434.87,1461.93,13.73,0.00,3.91,3.91,4.45
RC202,3.0,1365.65,4,1236.14,4,1195.42,4,1172.31,4,1209.45,4,1211.20,4,1238.97,4,1187.19,4,1205.72,4,1225.43,4,1219.02,4,4.00,0.000,1172.31,1210.09,20.04,1.00,-11.39,88.61,5.25
RC203,3.0,1049.62,3,1101.18,3,1082.97,3,1095.03,3,1082.97,4,953.22,3,1110.98,3,1090.96,3,1090.27,3,1104.41,3,1083.92,3,3.10,0.300,1082.97,1079.59,43.08,0.10,2.86,12.86,6.88
RC204,3.0,798.46,3,814.89,3,839.25,3,838.66,3,798.56,3,829.05,3,855.26,3,829.25,3,798.61,3,833.68,3,844.14,3,3.00,0.000,798.56,828.13,17.84,0.00,3.72,3.72,7.05
RC205,4.0,1297.65,4,1321.14,4,1364.47,4,1377.56,4,1353.88,4,1309.97,4,1379.66,4,1332.52,4,1322.41,4,1302.42,4,1356.32,4,4.00,0.000,1302.42,1342.04,26.52,0.00,3.42,3.42,5.11
RC206,3.0,1146.32,4,1108.92,3,1184.08,3,1228.23,4,1101.04,4,1101.54,3,1196.28,3,1153.69,3,1201.64,4,1111.41,4,1117.64,3,3.50,0.500,1153.69,1150.45,45.90,0.50,0.36,50.36,5.08
RC207,3.0,1061.14,3,1095.89,3,1145.09,3,1104.66,3,1091.84,3,1089.46,3,1114.17,3,1125.47,3,1115.72,3,1106.67,3,1102.84,3,3.00,0.000,1089.46,1109.18,15.99,0.00,4.53,4.53,6.31
RC208,3.0,828.14,3,868.10,3,880.25,3,868.16,3,863.42,3,876.72,3,852.25,3,877.80,3,883.39,3,894.36,3,875.07,3,3.00,0.000,852.25,873.95,11.04,0.00,5.53,5.53,6.22
