iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
127,12,1514.54,13,1693.59,1,1,9,14342.7,7.43696e-05,0.999314,0.000199142,0.000412851,7.0593e-05,0.999217,0.00057507,0.000137474
128,12,1514.54,12,1588.44,1,1,13,14335.5,7.46364e-05,0.999311,0.000199896,0.000414474,7.09192e-05,0.999213,0.000577969,0.000138128
129,12,1514.54,12,1553.94,1,1,13,14328.4,6.89972e-05,0.999363,0.000184829,0.000383289,6.56275e-05,0.999271,0.000535068,0.000127838
130,12,1514.54,12,1588.63,1,1,9,14321.2,6.38797e-05,0.99941,0.000171154,0.000354983,6.08204e-05,0.999325,0.000496084,0.00011849
131,12,1514.54,13,2031.75,1,1,9,14314,6.42951e-05,0.999406,0.000172301,0.000357414,6.12753e-05,0.999319,0.000500004,0.000119393
132,12,1514.54,13,1800.79,1,1,13,14306.9,6.47026e-05,0.999402,0.000173427,0.000359802,6.17222e-05,0.999314,0.000503862,0.000120279
133,12,1514.54,13,1856.07,1,1,9,14299.7,5.99701e-05,0.999446,0.000160774,0.0003336,5.72614e-05,0.999363,0.000467644,0.000111601
134,12,1514.54,13,1879.52,1,1,9,14292.6,6.0429e-05,0.999441,0.000162036,0.000336268,5.77522e-05,0.999358,0.00047185,0.000112573
135,12,1514.54,13,1809.27,1,1,13,14285.4,6.08799e-05,0.999437,0.000163278,0.000338894,5.82352e-05,0.999352,0.000475996,0.00011353
136,12,1514.54,13,1683.17,1,1,13,14278.3,5.64859e-05,0.999477,0.000151523,0.000314542,5.40799e-05,0.999398,0.000442218,0.000105443
137,12,1514.54,12,1840.23,1,1,13,14271.1,5.2484e-05,0.999514,0.000140816,0.000292358,5.02919e-05,0.99944,0.000411416,9.80704e-05
138,12,1514.54,13,1877.39,1,1,9,14264,4.88338e-05,0.999548,0.000131048,0.000272118,4.68339e-05,0.999479,0.000383289,9.13394e-05
139,12,1514.54,13,1900.04,1,1,9,14256.9,4.9399e-05,0.999543,0.000132591,0.000275362,4.74151e-05,0.999472,0.000388208,9.24852e-05
140,12,1514.54,13,1871.89,1,1,13,14249.7,4.99575e-05,0.999537,0.000134117,0.000278571,4.79899e-05,0.999465,0.00039308,9.3619e-05
141,12,1514.54,13,1936.63,1,1,9,14242.6,4.65209e-05,0.999569,0.000124915,0.000259498,4.47245e-05,0.999502,0.000366487,8.72603e-05
142,12,1514.54,13,1788.54,1,1,13,14235.5,4.70993e-05,0.999564,0.000126494,0.000262814,4.53157e-05,0.999495,0.000371488,8.84258e-05
143,12,1514.54,13,1854.45,1,1,9,14228.4,4.39059e-05,0.999593,0.00011794,0.000245079,4.22756e-05,0.999529,0.000346712,8.25045e-05
144,12,1514.54,13,1861.14,1,1,9,14221.3,4.44994e-05,0.999587,0.000119558,0.000248478,4.28792e-05,0.999522,0.00035181,8.36936e-05
145,12,1514.54,13,1871.87,1,1,9,14214.2,4.50874e-05,0.999582,0.000121162,0.000251847,4.34775e-05,0.999515,0.000356869,8.48728e-05
146,12,1514.54,13,2060.1,1,1,9,14207.1,4.56695e-05,0.999576,0.00012275,0.000255187,4.40705e-05,0.999508,0.000361889,8.60419e-05
147,12,1514.54,13,2120.42,1,1,9,14199.9,4.62457e-05,0.999571,0.000124324,0.000258495,4.46579e-05,0.999501,0.000366867,8.72003e-05
148,12,1514.54,13,2147.33,1,1,9,14192.8,4.68158e-05,0.999566,0.000125881,0.000261772,4.52395e-05,0.999495,0.000371802,8.8348e-05
149,12,1514.54,14,2193.57,1,2,9,14185.8,4.73796e-05,0.99956,0.000127423,0.000265016,4.58154e-05,0.999488,0.000376693,8.94845e-05
150,12,1514.54,14,2101.28,1,1,13,14178.7,4.79371e-05,0.999555,0.000128947,0.000268227,4.57038e-05,0.99905,0.000815306,8.92786e-05
151,12,1514.54,14,1939.67,1,1,13,14171.6,4.46521e-05,0.999585,0.000120135,0.000249932,4.26131e-05,0.999114,0.00076061,8.32523e-05
152,12,1514.54,13,1812.97,1,1,13,14164.5,4.16484e-05,0.999613,0.000112076,0.0002332,3.97842e-05,0.999172,0.000710526,7.7736e-05
153,12,1514.54,13,1843.93,1,1,9,14157.4,3.88983e-05,0.999639,0.000104696,0.000217876,3.71916e-05,0.999226,0.000664606,7.26799e-05
154,12,1514.54,13,1873.21,1,1,9,14150.3,3.95042e-05,0.999633,0.000106348,0.000221346,3.78039e-05,0.999212,0.000675937,7.38864e-05
155,12,1514.54,13,1868.28,1,1,13,14143.2,4.01058e-05,0.999627,0.000107988,0.000224794,3.84125e-05,0.999199,0.000687215,7.50858e-05
156,12,1514.54,13,1800.51,1,1,13,14136.2,3.74794e-05,0.999651,0.000100937,0.000210146,3.59283e-05,0.999251,0.000643143,7.02394e-05
157,12,1514.54,13,1891.2,1,1,9,14129.1,3.50701e-05,0.999674,9.44669e-05,0.000196705,3.36475e-05,0.999298,0.000602662,6.57892e-05
158,12,1514.54,12,1693.65,1,1,13,14122,3.56842e-05,0.999668,9.61403e-05,0.000200218,3.42643e-05,0.999285,0.000614064,6.70042e-05
159,12,1514.54,12,1720.62,1,1,9,14115,3.34192e-05,0.999689,9.00556e-05,0.000187574,3.21157e-05,0.999329,0.000575891,6.2811e-05
160,12,1514.54,12,1696.23,1,1,13,14107.9,3.40344e-05,0.999683,9.17316e-05,0.000191093,3.27322e-05,0.999316,0.000587285,6.40254e-05
161,12,1514.54,12,1696.23,1,1,0,14100.9,3.19005e-05,0.999703,8.59973e-05,0.000179174,3.07041e-05,0.999358,0.000551215,6.00665e-05
162,12,1514.54,12,1689.52,1,1,13,14093.8,3.91569e-05,0.999635,0.00010558,0.000220006,3.77137e-05,0.999211,0.000677445,7.37891e-05
163,12,1514.54,12,1778.93,1,1,9,14086.8,3.65963e-05,0.999659,9.86952e-05,0.00020569,3.52743e-05,0.999262,0.000633993,6.90256e-05
164,12,1514.54,12,1743.56,1,1,13,14079.7,3.71974e-05,0.999653,0.000100336,0.000209141,3.58793e-05,0.999249,0.00064524,7.0219e-05
165,12,1514.54,13,1954.41,1,1,9,14072.7,3.47965e-05,0.999676,9.38788e-05,0.00019571,3.35881e-05,0.999296,0.000604384,6.57436e-05
