iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
282,15,1477.47,15,1576.61,4,3,-10,152.625,4.34229
283,15,1477.47,15,1576.61,3,1,-10,152.594,4.34012
284,15,1477.47,15,1578.01,0,3,-0.0891095,152.564,4.33795
285,15,1477.47,15,1578.01,0,1,0,152.533,4.33578
286,15,1477.47,15,1578.01,3,0,-10,152.503,4.33362
287,15,1477.47,15,1568.99,0,1,0.571865,152.472,4.33145
288,15,1477.47,15,1554.68,0,1,0.911731,152.442,4.32928
289,15,1477.47,15,1549.08,3,0,0.360103,152.411,4.32712
290,15,1477.47,15,1549.08,0,3,0,152.381,4.32495
291,15,1477.47,15,1540.82,1,2,0.533721,152.35,4.32279
292,15,1477.47,15,1540.82,0,3,-10,152.32,4.32063
293,15,1477.47,15,1542.4,3,3,-0.103023,152.289,4.31847
294,15,1477.47,15,1542.4,0,3,-10,152.259,4.31631
295,15,1477.47,15,1542.4,1,1,-5.07038,152.228,4.31415
296,15,1477.47,15,1552.93,1,3,-0.682169,152.198,4.312
297,15,1477.47,15,1555.43,4,0,-0.161082,152.167,4.30984
298,15,1477.47,15,1555.43,2,0,-10,152.137,4.30769
299,15,1477.47,15,1555.43,1,3,-10,152.106,4.30553
300,15,1477.47,15,1553.66,4,2,0.113663,152.076,4.30338
301,15,1477.47,15,1549.68,4,2,0.255935,152.046,4.30123
302,15,1477.47,15,1549.68,1,3,-5.52824,152.015,4.29908
303,15,1477.47,15,1532.31,2,1,1.12121,151.985,4.29693
304,15,1477.47,15,1532.31,1,3,-10,151.954,4.29478
305,15,1477.47,15,1532.31,2,0,0,151.924,4.29263
306,15,1477.47,15,1532.31,1,0,-10,151.894,4.29048
307,15,1477.47,15,1532.31,1,2,-8.63305,151.863,4.28834
308,15,1477.47,15,1506.65,3,1,1.67425,151.833,4.2862
309,15,1477.47,15,1505.8,4,1,0.0565011,151.803,4.28405
310,15,1477.47,15,1506.35,4,3,-0.0361987,151.772,4.28191
311,15,1477.47,15,1509.18,4,3,-0.188227,151.742,4.27977
312,15,1477.47,15,1507.07,0,2,0.140189,151.711,4.27763
313,15,1477.47,15,1501.03,0,1,0.40085,151.681,4.27549
314,15,1477.47,15,1498.36,0,1,0.177331,151.651,4.27335
315,15,1477.47,15,1490.51,3,0,0.524288,151.62,4.27122
316,15,1477.47,15,1516.7,2,0,-1.75707,151.59,4.26908
317,15,1477.47,15,1516.7,0,3,-10,151.56,4.26695
318,15,1477.47,15,1516.7,4,0,-10,151.53,4.26481
319,15,1477.47,15,1516.7,0,0,-10,151.499,4.26268
320,15,1477.47,15,1522.85,4,3,-0.405719,151.469,4.26055
321,15,1477.47,15,1522.85,4,0,0,151.439,4.25842
322,15,1477.47,15,1574.72,1,1,-3.40606,151.408,4.25629
323,15,1477.47,15,1575.94,4,2,-0.0776195,151.378,4.25416
324,15,1477.47,15,1592.48,1,1,-1.04922,151.348,4.25203
325,15,1477.47,15,1566.85,0,3,1.60894,151.318,4.24991
326,15,1477.47,15,1566.85,3,3,0,151.287,4.24778
327,15,1477.47,15,1565.15,0,1,0.108667,151.257,4.24566
328,15,1477.47,15,1565.15,0,0,-10,151.227,4.24354
329,15,1477.47,15,1565.15,4,2,-10,151.196,4.24141
330,15,1477.47,15,1565.15,1,0,-6.66831,151.166,4.23929
331,15,1477.47,15,1537.74,3,1,1.75114,151.136,4.23717
332,15,1477.47,15,1601.02,1,2,-4.11491,151.106,4.23506
333,15,1477.47,15,1579.21,0,1,1.3621,151.076,4.23294
334,15,1477.47,15,1579.21,0,1,0,151.045,4.23082
335,15,1477.47,15,1579.21,1,2,-10,151.015,4.22871
336,15,1477.47,15,1583.73,1,2,-0.286132,150.985,4.22659
337,15,1477.47,15,1601.6,1,3,-1.12845,150.955,4.22448
338,15,1477.47,15,1577.88,3,2,1.48141,150.925,4.22237
339,15,1477.47,15,1577.88,4,2,0,150.894,4.22025
340,15,1477.47,15,1543.86,2,0,2.15597,150.864,4.21814
341,15,1477.47,15,1543.86,1,3,-10,150.834,4.21604
342,15,1477.47,15,1538.26,2,1,0.36288,150.804,4.21393
343,15,1477.47,15,1526.09,0,3,0.790913,150.774,4.21182
344,15,1477.47,15,1526.09,3,0,-10,150.744,4.20971
345,15,1477.47,15,1513.45,0,2,0.828102,150.713,4.20761
346,15,1477.47,15,1505.44,3,1,0.529323,150.683,4.20551
347,15,1477.47,15,1489.58,2,1,1.05338,150.653,4.2034
348,15,1477.47,15,1489.58,0,1,0,150.623,4.2013
349,15,1477.47,15,1487.34,3,2,0.150295,150.593,4.1992
350,15,1477.47,15,1487.34,0,0,-10,150.563,4.1971
351,15,1477.47,15,1487.34,2,0,-10,150.533,4.195
352,15,1477.47,15,1483.93,0,1,0.229551,150.503,4.19291
353,15,1477.47,15,1483.93,2,3,-10,150.472,4.19081
354,15,1477.47,15,1482.32,3,3,0.108758,150.442,4.18871
355,15,1477.47,15,1482.32,2,1,0,150.412,4.18662
356,15,1477.47,15,1482.32,0,0,0,150.382,4.18453
357,15,1477.47,15,1483.12,4,1,-0.0542989,150.352,4.18243
358,15,1477.47,15,1483.12,2,3,0,150.322,4.18034
359,15,1477.47,15,1483.12,3,2,0,150.292,4.17825
360,15,1477.47,15,1483.12,0,3,0,150.262,4.17616
361,15,1477.47,15,1483.12,3,2,0,150.232,4.17407
362,15,1477.47,15,1493.37,1,3,-0.691214,150.202,4.17199
363,15,1477.47,15,1489.45,0,2,0.26272,150.172,4.1699
364,15,1477.47,15,1489.45,2,0,-10,150.142,4.16782
365,15,1477.47,15,1489.45,3,3,-10,150.112,4.16573
366,15,1477.47,15,1489.45,1,2,-10,150.082,4.16365
367,15,1477.47,15,1489.45,0,1,0,150.052,4.16157
368,15,1477.47,15,1489.45,1,3,-10,150.022,4.15949
369,15,1477.47,15,1489.45,4,3,-10,149.992,4.15741
370,15,1477.47,15,1486.08,3,2,0.226333,149.962,4.15533
371,15,1477.47,15,1486.08,4,0,-10,149.932,4.15325
372,15,1477.47,15,1537.62,1,2,-3.46813,149.902,4.15117
373,15,1477.47,15,1537.62,1,2,-10,149.872,4.1491
374,15,1477.47,15,1537.62,1,2,-5.5405,149.842,4.14702
375,15,1477.47,15,1537.25,0,1,0.0237381,149.812,4.14495
376,15,1477.47,15,1512.06,2,3,1.63871,149.782,4.14288
377,15,1477.47,15,1509.44,0,2,0.173255,149.752,4.14081
378,15,1477.47,15,1502.58,4,0,0.454741,149.722,4.13874
379,15,1477.47,15,1508.21,3,1,-0.375102,149.692,4.13667
380,15,1477.47,15,1508.21,0,1,0,149.662,4.1346
381,15,1477.47,15,1508.21,0,2,0,149.632,4.13253
382,15,1477.47,15,1508.21,4,0,-10,149.602,4.13047
383,15,1477.47,15,1508.21,2,2,0,149.572,4.1284
384,15,1477.47,15,1508.21,4,2,0,149.542,4.12634
385,15,1477.47,15,1508.21,4,0,0,149.512,4.12427
386,15,1477.47,15,1508.21,0,2,0,149.482,4.12221
387,15,1477.47,15,1508.21,1,3,-10,149.453,4.12015
388,15,1477.47,15,1508.21,0,3,0,149.423,4.11809
389,15,1477.47,15,1506.97,3,1,0.0827186,149.393,4.11603
390,15,1477.47,15,1506.97,4,2,0,149.363,4.11397
391,15,1477.47,15,1506.97,1,1,-8.0741,149.333,4.11192
392,15,1477.47,15,1506.97,2,1,0,149.303,4.10986
393,15,1477.47,15,1506.97,0,1,0,149.273,4.1078
394,15,1477.47,15,1506.97,3,3,-10,149.243,4.10575
395,15,1477.47,15,1554.52,0,3,-3.15559,149.214,4.1037
396,15,1477.47,15,1532.42,2,2,1.42146,149.184,4.10165
397,15,1477.47,15,1532.42,0,1,0,149.154,4.0996
