iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,d_weight_4,r_weight_0,r_weight_1,r_weight_2,r_weight_3
90,20,1790.15,20,1798.57,4,0,5,185.851,0.170319,0.210433,0.191163,0.210351,0.217734,0.216369,0.274199,0.300281,0.209151
91,20,1790.15,20,1798.57,3,2,2,185.814,0.169888,0.209923,0.19069,0.20984,0.219658,0.220807,0.272652,0.298599,0.207942
92,20,1790.15,20,1798.57,0,0,0,185.777,0.169957,0.210029,0.190778,0.209462,0.219775,0.221188,0.273151,0.297366,0.208295
93,20,1790.15,20,1798.57,3,1,2,185.74,0.169629,0.210113,0.190845,0.209545,0.219868,0.220893,0.27326,0.297497,0.20835
94,20,1790.15,20,1798.57,4,0,2,185.703,0.169693,0.210215,0.190928,0.209185,0.219979,0.220982,0.272931,0.29766,0.208427
95,20,1790.15,20,1798.57,2,0,0,185.665,0.169851,0.210433,0.191116,0.209401,0.219199,0.222509,0.272401,0.297095,0.207994
96,20,1790.15,20,1798.57,4,0,0,185.628,0.170102,0.210766,0.189848,0.209733,0.219551,0.22215,0.272533,0.297251,0.208066
97,20,1790.15,20,1792.95,0,0,5,185.591,0.170648,0.211466,0.190468,0.210428,0.216991,0.221809,0.272658,0.2974,0.208133
98,20,1790.15,20,1792.83,0,0,5,185.554,0.173965,0.210622,0.189698,0.209588,0.216128,0.226044,0.271179,0.295801,0.206977
99,20,1784.87,20,1784.87,0,1,10,185.517,0.177165,0.209808,0.188955,0.208778,0.215295,0.230123,0.269755,0.29426,0.205862
100,20,1784.87,20,1784.87,3,2,0,185.48,0.184166,0.208024,0.187339,0.207002,0.213468,0.22758,0.277801,0.291044,0.203575
101,20,1783.28,20,1783.28,4,1,10,185.443,0.184668,0.208603,0.18785,0.204814,0.214065,0.228657,0.279144,0.287672,0.204528
102,20,1773.2,20,1773.2,4,2,10,185.406,0.183155,0.206907,0.186313,0.203147,0.220477,0.226214,0.286823,0.284631,0.202331
103,20,1773.2,20,1777.8,4,0,2,185.369,0.181625,0.205191,0.184758,0.20146,0.226967,0.223826,0.28383,0.292159,0.200184
104,20,1773.2,20,1782.96,3,2,2,185.331,0.181829,0.205434,0.184967,0.201697,0.226073,0.225055,0.283392,0.291713,0.19984
105,20,1773.2,20,1782.96,1,1,0,185.294,0.181799,0.205413,0.184938,0.20179,0.22606,0.225448,0.283919,0.290456,0.200177
106,20,1773.2,20,1781.12,4,2,5,185.257,0.182195,0.203644,0.185343,0.20224,0.226578,0.226426,0.280787,0.291753,0.201034
107,20,1773.2,20,1773.25,4,1,5,185.22,0.181744,0.203151,0.184886,0.20175,0.22847,0.225772,0.280006,0.29378,0.200442
108,20,1764.41,20,1764.41,3,1,10,185.183,0.181294,0.202659,0.18443,0.201261,0.230356,0.224999,0.282445,0.292812,0.199743
109,20,1764.41,20,1844.31,1,2,2,185.146,0.179672,0.200857,0.182781,0.208368,0.228322,0.222564,0.290186,0.289681,0.19757
